cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos,true_label,ai_risk_score
4.3,6986,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999874769
7.5,2747,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999874285
5.0,6888,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999873832
6.5,6320,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999873102
9.0,6799,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999872975
2.6,5257,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999871849
6.8,5257,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999871849
4.9,5257,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999871849
5.0,6679,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999871809
4.6,6656,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999871585
6.8,6650,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999871525
4.0,6632,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999987135
7.9,6595,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870985
6.8,5165,3,2,2,2,2,2,2,0,0,0,0,1,0.999999999987095
7.5,6586,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870899
3.5,6564,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870681
4.3,6560,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870641
6.8,6532,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870366
6.8,6531,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870357
7.5,6506,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870108
9.3,6506,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870108
5.0,6504,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999870088
5.0,6427,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999869327
10.0,6426,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999869316
7.2,6414,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999869196
9.3,4887,3,2,2,2,2,2,2,0,0,0,0,1,0.999999999986819
6.8,4887,3,2,2,2,2,2,2,0,0,0,0,1,0.999999999986819
7.5,6298,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999868037
7.8,6293,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867986
6.8,6292,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867977
4.3,6292,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867977
5.8,6280,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867855
7.5,4832,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999867635
4.3,4832,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999867635
3.3,6258,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867633
4.7,6257,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867624
4.3,6250,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867553
10.0,4817,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999867484
3.5,6232,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999986737
6.8,6231,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999867362
5.0,4803,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999867344
7.5,6166,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999866702
7.1,4739,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999866696
7.5,6153,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999866571
4.3,6153,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999866571
9.3,4705,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999866349
4.3,4705,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999866349
9.3,4705,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999866349
6.8,6125,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999866287
9.3,4677,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999866065
4.3,6098,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999866012
3.3,6092,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999986595
6.5,6069,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999865716
7.5,6069,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999865716
6.8,6063,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999865654
1.2,6051,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999865532
5.0,5988,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999864884
7.5,5986,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999864864
6.5,5959,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999864586
6.8,4494,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999864186
3.6,5858,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999986354
9.3,6789,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999863509
5.0,5832,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999863272
4.6,5804,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999862978
4.4,5804,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999862978
4.9,5796,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999862896
4.0,5781,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999862739
4.3,6697,3,2,2,2,2,2,3,1,0,0,1,1,0.999999999986255
3.5,5257,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999862406
4.3,5257,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999862406
4.3,5256,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999862395
5.0,5705,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999861942
7.5,6636,3,2,2,2,2,2,3,1,0,0,1,1,0.999999999986191
5.0,5698,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999861868
7.5,5665,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999861522
